Environment,Abiotic.stress,Year,Plot,Genotype,Block,Replication,Row,Column,Line.type,Days.to.flowering,Height,GYKGPHA
Non.stress.trial,Drought,2019,196,1,3,1,3,6,entry,94,95.7,5078.4
Non.stress.trial,Drought,2019,156,2,2,1,2,35,entry,86,90.3,3532.8
Non.stress.trial,Drought,2019,8,3,1,1,1,8,entry,112,120.3,5740.7
Non.stress.trial,Drought,2019,123,4,2,1,2,68,entry,88,112.3,4901.7
Non.stress.trial,Drought,2019,331,5,4,1,4,50,entry,101,114,5851.1
Non.stress.trial,Drought,2019,330,6,4,1,4,51,entry,84,120,6138.2
Non.stress.trial,Drought,2019,95,7,1,1,1,95,entry,85,131,6138.2
Non.stress.trial,Drought,2019,113,8,2,1,2,78,entry,97,138.7,5851.1
Non.stress.trial,Drought,2019,205,9,3,1,3,15,entry,88,104,3908.1
Non.stress.trial,Drought,2019,269,10,3,1,3,79,entry,109,109,5520
Non.stress.trial,Drought,2019,36,11,1,1,1,36,entry,114,111,7065.5
Non.stress.trial,Drought,2019,132,12,2,1,2,59,entry,86,115,5409.6
Non.stress.trial,Drought,2019,155,13,2,1,2,36,entry,86,127,5652.4
Non.stress.trial,Drought,2019,43,14,1,1,1,43,entry,90,110.7,2782.1
Non.stress.trial,Drought,2019,67,15,1,1,1,67,entry,90,44.3,3974.4
Non.stress.trial,Drought,2019,108,16,2,1,2,83,entry,99,107,3974.4
Non.stress.trial,Drought,2019,253,17,3,1,3,63,entry,69,110,4945.9
Non.stress.trial,Drought,2019,222,18,3,1,3,32,entry,99,101.3,5851.1
Non.stress.trial,Drought,2019,203,19,3,1,3,13,entry,124,158.3,2980.8
Non.stress.trial,Drought,2019,239,20,3,1,3,49,entry,98,112.7,5520
Non.stress.trial,Drought,2019,322,21,4,1,4,59,entry,94,113,3908.1
Non.stress.trial,Drought,2019,68,22,1,1,1,68,entry,96,49,3312
Non.stress.trial,Drought,2019,376,23,4,1,4,5,entry,61,110.7,5740.7
Non.stress.trial,Drought,2019,375,24,4,1,4,6,entry,61,114.7,4195.2
Non.stress.trial,Drought,2019,301,25,4,1,4,80,entry,99,111.7,3797.7
Non.stress.trial,Drought,2019,153,26,2,1,2,38,entry,97,98.7,7727.9
Non.stress.trial,Drought,2019,39,27,1,1,1,39,entry,96,99.3,3312
Non.stress.trial,Drought,2019,28,28,1,1,1,28,entry,87,98.7,5829.1
Non.stress.trial,Drought,2019,30,29,1,1,1,30,entry,90,118,9273.5
Non.stress.trial,Drought,2019,284,30,3,1,3,94,entry,72,112,5520
Non.stress.trial,Drought,2019,324,31,4,1,4,57,entry,80,95.7,3312
Non.stress.trial,Drought,2019,77,32,1,1,1,77,entry,97,100.7,10355.4
Non.stress.trial,Drought,2019,168,33,2,1,2,23,entry,119,112.3,5851.1
Non.stress.trial,Drought,2019,333,34,4,1,4,48,entry,113,98.3,2715.8
Non.stress.trial,Drought,2019,92,35,1,1,1,92,entry,108,105.3,2495
Non.stress.trial,Drought,2019,70,36,1,1,1,70,entry,95,100.7,3687.3
Non.stress.trial,Drought,2019,218,37,3,1,3,28,entry,130,112,3267.8
Non.stress.trial,Drought,2019,319,38,4,1,4,62,entry,103,98.7,5608.3
Non.stress.trial,Drought,2019,346,39,4,1,4,35,entry,95,109,3864
Non.stress.trial,Drought,2019,300,40,4,1,4,81,entry,70,112.3,3223.7
Non.stress.trial,Drought,2019,271,41,3,1,3,81,entry,75,125.3,5321.2
Non.stress.trial,Drought,2019,261,42,3,1,3,71,entry,122,116,5608.3
Non.stress.trial,Drought,2019,237,43,3,1,3,47,entry,88,113,8257.8
Non.stress.trial,Drought,2019,118,44,2,1,2,73,entry,96,116.3,2826.2
Non.stress.trial,Drought,2019,171,45,2,1,2,20,entry,95,116.7,3643.2
Non.stress.trial,Drought,2019,313,46,4,1,4,68,entry,84,97.3,2649.6
Non.stress.trial,Drought,2019,106,47,2,1,2,85,entry,119,106.3,4416
Non.stress.trial,Drought,2019,176,48,2,1,2,15,entry,83,113.3,5851.1
Non.stress.trial,Drought,2019,204,49,3,1,3,14,entry,113,103.7,3775.6
Non.stress.trial,Drought,2019,365,50,4,1,4,16,entry,111,90.7,3709.4
Non.stress.trial,Drought,2019,69,51,1,1,1,69,entry,79,108.7,2649.6
Non.stress.trial,Drought,2019,315,52,4,1,4,66,entry,116,86.7,2517.1
Non.stress.trial,Drought,2019,61,53,1,1,1,61,entry,94,93.3,4195.2
Non.stress.trial,Drought,2019,141,54,2,1,2,50,entry,77,123,6071.9
Non.stress.trial,Drought,2019,341,55,4,1,4,40,entry,65,99.3,2760
Non.stress.trial,Drought,2019,178,56,2,1,2,13,entry,95,107,2715.8
Non.stress.trial,Drought,2019,159,57,2,1,2,32,entry,117,108.3,2495
Non.stress.trial,Drought,2019,292,58,4,1,4,89,entry,104,110.7,5851.1
Non.stress.trial,Drought,2019,172,59,2,1,2,19,entry,95,111.3,3864
Non.stress.trial,Drought,2019,182,60,2,1,2,9,entry,91,112,4151
Non.stress.trial,Drought,2019,231,61,3,1,3,41,entry,115,120.3,4990
Non.stress.trial,Drought,2019,367,62,4,1,4,14,entry,118,98.7,3974.4
Non.stress.trial,Drought,2019,247,63,3,1,3,57,entry,101,116.7,3223.7
Non.stress.trial,Drought,2019,343,64,4,1,4,38,entry,80,118,3201.6
Non.stress.trial,Drought,2019,71,65,1,1,1,71,entry,103,129,3201.6
Non.stress.trial,Drought,2019,84,66,1,1,1,84,entry,89,138,7065.5
Non.stress.trial,Drought,2019,354,67,4,1,4,27,entry,96,106.7,4857.6
Non.stress.trial,Drought,2019,16,68,1,1,1,16,entry,96,122.3,5078.4
Non.stress.trial,Drought,2019,57,69,1,1,1,57,entry,96,114.7,5740.7
Non.stress.trial,Drought,2019,83,70,1,1,1,83,entry,116,114.7,6071.9
Non.stress.trial,Drought,2019,53,71,1,1,1,53,entry,99,140,5520
Non.stress.trial,Drought,2019,137,72,2,1,2,54,entry,95,129.3,4084.8
Non.stress.trial,Drought,2019,293,73,4,1,4,88,entry,104,133,5409.6
Non.stress.trial,Drought,2019,23,74,1,1,1,23,entry,106,127,2980.8
Non.stress.trial,Drought,2019,38,75,1,1,1,38,entry,97,112.3,9339.8
Non.stress.trial,Drought,2019,33,76,1,1,1,33,entry,86,106.3,5122.5
Non.stress.trial,Drought,2019,229,77,3,1,3,39,entry,79,114.7,4747.2
Non.stress.trial,Drought,2019,73,78,1,1,1,73,entry,85,100.3,3621.1
