"Genotype","Line.type","blups.gy","std.er.gy"
"1","entry",3163.31,283.46
"10","entry",3558.69,282.63
"100","entry",4676.26,283.43
"101","entry",3047.35,283.28
"102","entry",4562.62,283.47
"103","entry",3260.78,281.28
"104","entry",4468.13,283.48
"105","entry",4605.43,283.27
"106","entry",4629.78,282.27
"107","entry",5379.02,282.26
"108","entry",4753.72,283.18
"109","entry",4347.52,283.48
"11","entry",3611.66,283.26
"110","entry",4835.13,283.48
"111","entry",3861.17,283.49
"112","entry",3702.85,283.13
"113","entry",3194.87,282.28
"114","entry",5714.71,381.34
"115","entry",4532.56,283.57
"116","entry",2158.29,282.04
"117","entry",3450.86,282.03
"118","entry",3925.54,281.4
"119","entry",4352.16,283.53
"12","entry",2874.11,281.94
"120","entry",3434.68,282.02
"121","entry",4511.22,283.48
"122","entry",4468.94,282.45
"123","entry",4493.83,282.23
"124","entry",4570.57,283.17
"125","entry",5008.7,281.88
"126","entry",3839.88,283.17
"127","entry",4222.04,283.52
"128","entry",3081.8,283.19
"129","entry",4696.09,283.2
"13","entry",4164.69,282.05
"130","entry",3523.23,283.2
"131","entry",3633.38,283.34
"132","entry",4520.85,283.08
"133","entry",3864.45,283.14
"134","entry",3871.94,280.89
"135","entry",5406.02,283.33
"136","entry",3169.43,283.15
"137","entry",4737.87,282.23
"138","entry",4820.92,283.38
"139","entry",4328.68,283.35
"14","entry",4999.42,282.54
"140","entry",4190.11,281.37
"141","entry",4312.62,281.75
"142","entry",3898.46,283.07
"143","entry",5124.24,281.76
"144","entry",3886.01,282.41
"145","entry",3770.53,283.6
"146","entry",5383.6,283.57
"147","entry",4575.25,283.8
"148","entry",3700.76,283.12
"149","entry",3174,282.05
"15","entry",3849.04,281.41
"150","entry",4406.77,281.41
"151","entry",4844.1,281.24
"152","entry",5798.1,283.56
"153","entry",4725.39,282.03
"154","entry",4575.56,283.47
"155","entry",3647.23,282.25
"156","entry",4520.64,282.02
"157","entry",4093.96,282.49
"158","entry",4792.79,281.36
"159","entry",4989.66,283.49
"16","entry",4434.45,283.08
"160","entry",3849.03,283.2
"161","entry",4649.17,282.61
"162","entry",4211.51,282.02
"163","entry",3759.02,282.25
"164","entry",5244.67,283.5
"165","entry",5438.91,283.07
"166","entry",4165.28,280.36
"167","entry",5137.66,283.48
"168","entry",4932,283.58
"169","entry",5380.36,283.32
"17","entry",3800.98,283.55
"170","entry",5101.03,282.3
"171","entry",4891.59,283.24
"172","entry",2976.67,281.75
"173","entry",3039.87,283.19
"174","entry",4396.49,283.49
"175","entry",4501.69,282.54
"176","entry",4385.85,283.17
"177","entry",2802.55,282.3
"178","entry",4850.76,283.19
"179","entry",4387.62,282.19
"18","entry",5307.51,282.24
"180","entry",5149.69,283.45
"181","entry",3948.48,283.59
"182","entry",4774.51,283.06
"183","entry",2563.03,283.53
